K_value,Distance_Metric,MPJSE,PCK,Retrieval_Time
2,chebychev,19.32695,0.917377182298011,33.8773988
4,euclidean,18.13215,0.947015834348356,32.2442951
4,cityblock,18.80718,0.930775477060495,32.6684884
4,minkowski,18.13215,0.947015834348356,32.9043198
4,chebychev,20.04014,0.902963865205034,37.428315
8,euclidean,19.1832,0.925192854242793,33.0312938
8,cityblock,19.87999,0.909307754770605,34.0356163
8,minkowski,19.1832,0.925192854242793,34.3093743
8,chebychev,21.18848,0.880836378400325,34.8574611
16,euclidean,20.59462,0.892585261875761,33.6479321
16,cityblock,21.31497,0.876903166869671,34.3079124
16,minkowski,20.59462,0.892585261875761,32.8971662
16,chebychev,22.75183,0.842367032074706,33.4248552
32,euclidean,22.36043,0.853278522127487,31.8296399
32,cityblock,23.16435,0.828892610637434,32.3974133
32,minkowski,22.36043,0.853278522127487,32.4335598
32,chebychev,24.69724,0.783673365814048,33.6844637
64,euclidean,24.43287,0.795238276492083,35.6225021
64,cityblock,25.33308,0.762776593585059,33.3129827
64,minkowski,24.43287,0.795238276492083,32.2776737
64,chebychev,26.97767,0.700574756394641,33.4840024
128,euclidean,26.75361,0.716869036743808,31.7585612
128,cityblock,27.76781,0.675433922046285,32.5114571
128,minkowski,26.75361,0.716869036743808,32.5740619
128,chebychev,29.51794,0.601153319123021,33.7677006
256,euclidean,29.28566,0.602923264311815,32.1948412
256,cityblock,30.41911,0.569167427933415,32.5229647
256,minkowski,29.28566,0.602923264311815,32.6385306
256,chebychev,32.29954,0.493308782480715,33.5407104
512,euclidean,32.05822,0.473437341402761,32.1702562
512,cityblock,33.28082,0.453209056536744,33.0746111
512,minkowski,32.05822,0.473437341402761,32.6162717
512,chebychev,35.37029,0.384078898954527,33.7007328
1024,euclidean,35.17396,0.367531656008932,32.9063053
1024,cityblock,36.49312,0.343439545904385,32.7859103
1024,minkowski,35.17396,0.367531656008932,32.9210728
1024,chebychev,38.76243,0.277277932145757,34.1178661
